Name,Shortname,Id,Description,Stacksize
Rocket Launcher,rocket.launcher,442886268,Shoots rockets slightly farther than North Korea.,1
Root Combiner,electrical.combiner,-458565393,"This object combines two root electrical sources into a single signal. Helpful for stringing together low energy batteries or solar panels to produce higher power output. Can be wired in series, can not be used with any non energy producing electrical components.",5
Rope,rope,1414245522,A Length of Rope.,50
Rotten Apple,apple.spoiled,352130972,"A rotten apple. Eating it currently provides a tiny boost to health, hunger, and thirst.",1
Rowboat,rowboat,1878053256,,1
Rug,rug,-1985799200,"A decorative rug that can be placed on walls, floors, and ceilings. Provides comfort when in close proximity.",1
Rug Bear Skin,rug.bear,-1104881824,"A decorative rug that can be placed on walls, floors, and ceilings. Provides comfort when in close proximity.",1
Rustigé Egg - Blue,rustige_egg_b,-173268132,"A beautiful hand crafted white gold and sapphire encrusted egg, with a miniature monument contained inside.",1
Rustigé Egg - Green,rustige_egg_e,-173268125,"A beautiful hand crafted gold and green egg, with a miniature traincart contained inside.",1
Rustigé Egg - Ivory,rustige_egg_d,-173268126,"A beautiful hand crafted Ivory and gold egg, with a miniature monument contained inside.",1
Rustigé Egg - Purple,rustige_egg_c,-173268131,"A beautiful hand crafted purple egg with gold lace, a miniature offshore monument is contained inside.",1
Rustigé Egg - Red,rustige_egg_a,-173268129,"An exquisite hand crafted gold and diamond egg. When opened, a very special melody can be heard as you observe an intricate representation of your favorite monument.",1
Rustigé Egg - White,rustige_egg_f,-173268128,"A beautiful hand crafted gold and white egg, with a miniature underwater lab scene contained inside.",1
Saddle bag,horse.saddlebag,1400460850,Equipping this saddle bag will add extra storage space on your horse,1
Salmon,fish.salmon,-851988960,"A large Salmon, found in fresh and salt water. Eats everything, so you never know what you'll find in it's stomach.",10
Salt Water,water.salt,-277057363,Water with a high salt content. Consuming will damage your health.,2147483647
Salvaged Axe,axe.salvaged,-262590403,A high-yield resource gathering axe. Slower than the Hatchet.,1
Salvaged Cleaver,salvaged.cleaver,-1978999529,A powerful 2-handed melee weapon with high damage.,1
Salvaged Hammer,hammer.salvaged,-1506397857,A Hammer made from a bunch of other crap.,1
Salvaged Icepick,icepick.salvaged,-1780802565,A high-yield resource gathering Icepick.,1
Salvaged Shelves,shelves,1950721418,Shelves for item stacking,10
Salvaged Sword,salvaged.sword,1326180354,"A powerful melee weapon made from a filed-down wrench. Great durability, good damage.",1
SAM Ammo,ammo.rocket.sam,-384243979,"Ammunition for a Sam Site, This missile contains a rudimentary guidance system to help it navigate through strong winds.",1000
SAM Site,samsite,-1009359066,A surface to air rocket site. Requires 25 electricity to function.,1
Sandbag Barricade,barricade.sandbags,-559599960,A protective barricade made out of Sand Bags.,10
Santa Beard,santabeard,2126889441,A santa beard. Ho Ho ho.,1
Santa Hat,santahat,-575483084,A santa hat. Ho Ho ho.,1
Sardine,fish.sardine,-1654233406,"A small oily fish, commonly found in large schools.",10
Satchel Charge,explosive.satchel,-1878475007,Small explosive package constructed of beancan grenades. Useful for destroying wood and sheet metal doors.,10
Scarecrow,scarecrow,177226991,Get into the halloween spirit with this decorative deployable item.,5
Scarecrow Suit,scarecrow.suit,273951840,A spooky scarecrow suit,1
Scarecrow Wrap,scarecrowhead,809942731,A creepy burlap scarecrow hat,1
Scientist Suit,hazmatsuit_scientist,-253079493,A hazmat suit made from radiation resistant rubber.,1
Scientist Suit,hazmatsuit_scientist_peacekeeper,-1958316066,A hazmat suit made from radiation resistant rubber.,1
Scrap,scrap,-932201673,Scrap can be used in a Research table and Workbench to unlock and research items. Often used as a currency throughout the world.,1000
ScrapTransportHeliRepair,scraptransportheli.repair,-1884328185,ScrapTransportHeliRepair Dummy,1
Search Light,searchlight,2087678962,"A Large, wide beam, aimable light source.",1
Secret Lab Chair,secretlabchair,567871954,"A luxurious, comfortable chair for long sessions of CCTV watching.",5
Semi Automatic Body,semibody,573926264,The firing mechanism of a semi automatic weapon.,10
Semi-Automatic Pistol,pistol.semiauto,818877484,"A semi-automatic pistol, fires rapidly and with good accuracy.",1
Semi-Automatic Rifle,rifle.semiauto,-904863145,A Semi Automatic Rifle.,1
Sewing Kit,sewingkit,1234880403,A Sewing kit. Used to make advanced clothing.,20
Sheet Metal,sheetmetal,-1994909036,Sheet metal scraps.,20
Sheet Metal Door,door.hinged.metal,-2067472972,"Medium strength door, vulnerable to explosives.",1
Sheet Metal Double Door,door.double.hinged.metal,1390353317,"Medium strength door, vulnerable to explosives.",1
Shirt,shirt.collared,-2025184684,A smart casual shirt,1
Shop Front,wall.frame.shopfront,-796583652,A shop front to do commerce.,1
Short Ice Wall,wall.ice.wall,1327005675,A short wall made of solid ice.,10
Shorts,pants.shorts,-1695367501,Trousers without the bottom of the legs.,1
Shotgun Trap,guntrap,352499047,"A shotgun trap triggered by movement, place near doorways and load with handmade shells.",1
Shovel Bass,fun.bass,-2107018088,"Use this stringed together shovel to play some deep, deep tunes.",1
Sickle,sickle,-1368584029,"A very sharp curved cutting weapon. While its traditional role was to cut grass, this tool is also extremely versatile at cutting throats, perhaps trees, too.",1
Silencer,weapon.mod.silencer,-1850571427,"Significantly reduces the sound of gunfire, and completely removes any visible muzzle flash.",1
Silver Egg,easter.silveregg,1757265204,"A Silver Egg. Contains medium level loot, Collect 10 to upgrade to a gold Egg",10
Simple Handmade Sight,weapon.mod.simplesight,-855748505,"A poorly made sight, slightly better than iron sights.",1
Simple Light,electric.simplelight,-282113991,A simple debugging light,1
Single Horse Saddle,horse.saddle.single,1559915778,"A horse saddle with one seat. Having this item allows you to claim a horse in a stable by holding E and selecting the ""Claim"" option",1
Single Sign Post,sign.post.single,1542290441,A single sign post that you can plant into terrain.,5
Siren Light,electric.sirenlight,762289806,A spinning siren light,5
Skull,skull,1312843609,A spooky skull,1
Skull Door Knocker,skulldoorknocker,-216116642,A spooky skull door knocker,1
Skull Fire Pit,skull_fire_pit,553887414,"Enjoy burning your enemies remnants to ashes with this Halloween exclusive! Provides warmth and light, and you can cook with it.",1
Skull Spikes,skullspikes.candles,-25740268,A spike of several skulls. Very spooky.,1
Skull Spikes,skullspikes.pumpkin,-1078639462,A spike of several skulls. Very spooky.,1
Skull Spikes,skullspikes,-1073015016,A spike of several skulls. Very spooky.,1
Skull Trophy,skull.trophy,-769647921,A decorative mount that can hold the skull of a friend or foe.,1
Skull Trophy,skull.trophy.table,-156748077,A decorative mount that can hold the skull of a friend or foe.,1
Skull Trophy,skull.trophy.jar2,-924959988,A decorative mount that can hold the skull of a friend or foe.,1
Skull Trophy,skull.trophy.jar,971362526,A decorative mount that can hold the skull of a friend or foe.,1
Sky Lantern,skylantern,1819863051,A beautiful sky lantern. Can be launched in any direction. Has one inventory slot. Can be Ignited with a lit torch.,20
Sky Lantern - Green,skylantern.skylantern.green,-1770889433,,20
Sky Lantern - Orange,skylantern.skylantern.orange,-1824770114,,20
Sky Lantern - Purple,skylantern.skylantern.purple,831955134,,20
Sky Lantern - Red,skylantern.skylantern.red,-1433390281,,20
Sled,sled.xmas,-135252633,A wooden sled to quickly travel down snowy hills.,1
Sled,sled,-333406828,A wooden sled to quickly travel down snowy hills.,1
Sleeping Bag,sleepingbag,-1754948969,A sleeping bag. Placing this will give you a location to respawn.,1
Small Candle Set,smallcandles,-2058362263,Small Candles,1
Small Chassis,vehicle.chassis.2mod,-44066600,Two-socket vehicle chassis.,1
Small Generator,electric.fuelgenerator.small,1849887541,A small electric generator powered by Low Grade Fuel that outputs 40 power.,1
Small Loot Bag,halloween.lootbag.small,1319617282,"Open for a surprise, or collect 10 to upgrade to a medium loot bag containing better loot!",10
Small Neon Sign,sign.neon.125x125,1305578813,A small neon sign!,5
Small Oil Refinery,small.oil.refinery,-1293296287,A small refinery which can produce Low Grade Fuel from Crude Oil.,1
Small Planter Box,planter.small,1903654061,A small planter with enough room to plant 3 seeds.,10
Small Present,xmas.present.small,-722241321,"A small stocking stuffer present, Collect 10 to upgrade to a larger present.",10
Small Rechargeable Battery,electric.battery.rechargable.small,-692338819,"A small rechargable battery. Must have a minimum charge of 5 seconds to discharge. Can be wired in series. Charging rate is dependant on power in, with a maximum of 80% efficiency.",1
Small Shark,fish.smallshark,-1768880890,"A small, surprisingly aggressive deep sea predator. Eats everything, so you never know what you'll find in it's stomach.",5
Small Stash,stash.small,-369760990,"A hidden, burried stash to keep your items safe. After placing, return to the stash and aim at the ground where you hid it and it will reveal itself.",5
Small Stocking,stocking.small,1668858301,A small stocking. Hang it by a fire and you might just get a gift! Collect 6 to upgrade to a SUPER Stocking.,5
Small Trout,fish.troutsmall,-1878764039,A Small Trout. Good for a few meals.,10
Small Water Bottle,smallwaterbottle,-1039528932,"A Small Water Bottle. Left click to drink, right click to fill from water sources, or to pour out.",1
Small Water Catcher,water.catcher.small,-132247350,"Collects drinkable water from the air via rain and dew. Can be connected to other entities to provide water, 20ml a second.",1
Small Wooden Sign,sign.wooden.small,-1138208076,A 1-meter by 0.5-meter wooden sign that you can write on.,1
Smart Alarm,smart.alarm,-695978112,Sends a notifications to your phone when powered on.,5
Smart Switch,smart.switch,988652725,A smart electric switch.,5
SMG Body,smgbody,1230323789,The firing mechanism of a submachinegun. Used in construction of a weapon that can fire pistol ammo fully automatic.,10
Smoke Grenade,grenade.smoke,1263920163,Produces a large cloud of opaque greyish white smoke.,3
Smoke Rocket WIP!!!!,ammo.rocket.smoke,-17123659,"Emits thick, visibility blocking smoke upon impact.",3
Snap Trap,trap.bear,-582782051,A metal trap that can injure or even kill people when stepped on. Can be picked up after been triggered.,3
Snow Jacket,jacket.snow,-48090175,"A thick, high visibility Jacket. It will help keep you warm in any climate.",1
Snow Machine,snowmachine,1358643074,A machine which will blanket the surrounding terrain in snow.,1
Snowball,snowball,-363689972,"A snowball, throw it!",1
Snowball Gun,snowballgun,1103488722,Load snowballs and lay waste to your foes with Christmas cheer.,1
Snowman,snowman,1629293099,Get into the holiday spirit with this decorative snowman,5
Snowman Helmet,attire.snowman.helmet,-842267147,A snowman helmet which provides ample protection.,1
Snowmobile,snowmobile,-1364246987,"A custom snowmobile, made of various bits and pieces.",1
Sofa,sofa,-555122905,A comfortable old sofa. A decorative item which provides comfort and seats two.,2
Sofa - Pattern,sofa.pattern,782422285,A comfortable old sofa with a floral pattern. A decorative item which provides comfort and seats two.,2
Solo Submarine,submarinesolo,-187031121,A small one-person submarine.,1
Sound Light,soundlight,-343857907,A light that will pulse in time to music when connected to a Boom Box.,5
Sousaphone,fun.tuba,1784406797,A collection of used piping that’s been converted into a Tuba. Probably not very hygienic.,1
Space Suit,hazmatsuit.spacesuit,-560304835,A spacesuit built for harsh conditions.,1
Spas-12 Shotgun,shotgun.spas12,-41440462,A semi automatic military issue shotgun,1
Speargun,speargun,-1517740219,A speargun which can only be fired underwater. Excellent for hunting Sharks.,1
Speargun Spear,speargun.spear,-1800345240,Ammunition for a speargun.,64
Spider Webs,spiderweb,882559853,Giant Cobwebs which can be hung against both a ceiling and a wall.,10
Spinning wheel,spinner.wheel,-1100422738,An interactive spinning wheel.,1
Splitter,electric.splitter,-563624462,Splits an electrical signal into 3 multiple signals. the amount passed through is equal to the input amount divided by the number of used output slots.,5
Spoiled Chicken,chicken.spoiled,-751151717,Spoiled Chicken. Eating it will damage your health.,20
Spoiled Human Meat,humanmeat.spoiled,1272768630,Spoiled Human Meat. Consuming will damage your health.,20
Spoiled Wolf Meat,wolfmeat.spoiled,-1167031859,Spoiled Wolf Meat. Consuming will damage your health.,20
Spooky Speaker,spookyspeaker,1885488976,Frighten your guests with creepy and spooky halloween sounds!,1
Spray Can,spraycan,-596876839,Use the Spray Can to leave Tags or reskin your items. Press [attack] to spray and [attack2] to reskin items.,1
Spray Can Decal,spraycandecal,-1366326648,,10
Sprinkler,electric.sprinkler,-781014061,A small sprinkler that sprays water around it. Requires a hose connection to supply it with water.,10
Star Tree Topper,xmas.decoration.star,-1331212963,A golden star to top off your Christmas Tree,1
Sticks,sticks,642482233,"Some long, some short.",100
Stone Barricade,barricade.stone,15388698,A protective barricade made out of Stones.,10
Stone Fireplace,fireplace.stone,-1535621066,A stone fireplace to heat your home. Must be placed indoors and against a wall.,1
Stone Hatchet,stonehatchet,-1583967946,Primitive tool used for harvesting wood from trees and logs.,1
Stone Pickaxe,stone.pickaxe,171931394,"Primitive tool used for harvesting Stone, Metal ore and Sulfur ore.",1
Stone Spear,spear.stone,1602646136,A stone-tipped wooden Spear. Slightly longer range.,1
Stones,stones,-2099697608,"Harvested from rocks using tools, basic building material.",1000
Storage Adaptor,storageadaptor,-1049172752,Attach to a storage container to allow industrial input/output connections.,5
Storage Monitor,storage.monitor,1149964039,The Storage Monitor attaches to the Tool Cupboard and Large Storage Box to monitor the container contents. Output sends a pulse when the container is updated.,1
Storage Vehicle Module,vehicle.1mod.storage,268565518,Single module storage.,1
Strengthened Glass Window,wall.window.glass.reinforced,-1614955425,Bulletproof glass insert,10
Strobe Light,strobelight,2104517339,"A flashing light, 3 speeds. Causes seizures.",1
Sulfur,sulfur,-1581843485,"Sulfur is commonly used in gunpowder, medicine, and matches. Matches release sulfur dioxide when they burn, giving them their smell. Sulfur is an essential component to living cells. Many proteins contain sulfur. It is also used as a pesticide on organic farms.",1000
Sulfur Ore,sulfur.ore,-1157596551,A rock containing sulfur. The sulfur can be extracted using a furnace.,1000
Sunglasses,sunglasses02black,1258768145,A pair of sunglasses. Functional and stylish!,1
Sunglasses,sunglasses02camo,-2103694546,A pair of sunglasses. Functional and stylish!,1
Sunglasses,sunglasses02red,1557173737,A pair of sunglasses. Functional and stylish!,1
Sunglasses,sunglasses03black,-176608084,A pair of sunglasses. Functional and stylish!,1
Sunglasses,sunglasses03chrome,-1997698639,A pair of sunglasses. Functional and stylish!,1
Sunglasses,sunglasses03gold,-1408336705,A pair of sunglasses. Functional and stylish!,1
Sunglasses,sunglasses,352321488,A pair of sunglasses. Functional and stylish!,1
Super Serum,supertea,-1003665711,"Super Serum, more health, more ore, more wood, more scrap",1
SUPER Stocking,stocking.large,-465682601,A SUPER Stocking. Hang it by a fire and you might just get an awesome gift!,1
Supply Signal,supply.signal,1397052267,Purple signal smoke. Use to mark a location for an airdrop.,1
Surface torpedo,submarine.torpedo.rising,-239306133,A torpedo for use in a submarine. Fires ahead while rising to the water's surface.,100
Surgeon Scrubs,halloween.surgeonsuit,-1785231475,A Surgeon Suit,1
Survey Charge,surveycharge,1975934948,Use this on the terrain to see which resources are available for mining.,10
Survival Fish Trap,fishtrap.small,559147458,"Traps fish, place on the shore and load with bait. The more bait loaded the bigger the chance of catching Trout.",5
Switch,electric.switch,1951603367,A simple electric switch.,5
T-Shirt,tshirt,223891266,A t-shirt with very short sleeves.,1
Table,table,593465182,Every home needs a table. A decorative item which provides comfort when in close proximity.,1
Tactical Gloves,tactical.gloves,-1108136649,Military issue tactical gloves provide protection as well as weapon stabilization leading to higher accuracy when used.,1
Tall Picture Frame,sign.pictureframe.tall,121049755,A tall canvas for artists paintings.,5
Tank Top,shirt.tanktop,1608640313,A tshirt without sleeves,1
Targeting Computer,targeting.computer,1523195708,A computer loaded with software that can analyze a video and produce rotational deltas to individual objects contained in the feed.,64
Tarp,tarp,2019042823,A waterproof tarp.,20
Taxi Vehicle Module,vehicle.1mod.taxi,-626174997,"Single module seating for two passengers, with protection at the front.",1
Tech Trash,techparts,73681876,A collection of random tech parts.,50
Telephone,telephone,1234878710,Use the telephone to call other telephones on the island!,1
Tesla Coil,electric.teslacoil,1371909803,An electrical trap that zaps nearby players when powered. More power supplied will result in higher damage. Loses durability with use.,3
Test Generator,electric.generator.small,-295829489,A Mailbox that accepts notes. Only you can access the mail due to a one way slit.,1
Thompson,smg.thompson,-1758372725,A medium damage machine gun.,1
Tiger Mask,hat.tigermask,709206314,A special tiger mask to celebrate Chinese New Year,1
Timed Explosive Charge,explosive.timed,1248356124,"C4, useful for breaking into bases.",10
Timer,electric.timer,665332906,"A Timer switch, will pass power through for duration.",5
Tomaha Snowmobile,snowmobiletomaha,1768112091,An old snowmobile from around 1980.,1
Tool Cupboard,cupboard.tool,-97956382,"Placing and authorising with the cupboard will make it so only you can build in a 50 meter radius of it. If you want your friends to build, they'll need to auth too. You should protect this.",1
Torch,torch,795236088,A Torch. Lights your way at night and can be used as a weapon.,1
Torpedo,submarine.torpedo.straight,-1671551935,A torpedo for use in a submarine. Fires ahead in a straight line.,100
Tree Lights,xmas.decoration.lights,1723747470,A tree isn't complete without colorful lights!,1
Triangle Ladder Hatch,floor.triangle.ladder.hatch,2041899972,A hatch that opens and changes into a ladder.,1
Tugboat,tugboat,-561148628,,1
Tuna Can Lamp,tunalight,-1478445584,A Makeshift wall light.,1
Twitch Rivals Trophy,trophy,975983052,A trophy dedicated to the survivors of Rust Twitch Rivals,1
Two Sided Hanging Sign,sign.hanging,1205607945,"A double sided hanging sign, to attach to buildings.",5
Two Sided Ornate Hanging Sign,sign.hanging.ornate,-1647846966,"A double sided hanging sign, to attach to buildings.",5
Two Sided Town Sign Post,sign.post.town.roof,826309791,"A double sided town sign post, with roof, that you can plant into terrain.",5
Vending Machine,vending.machine,198438816,"Trade your goods with other players safely by creating sell and buy orders.If a raider gains access to the rear panel, they will have free reign over all of your goodies. Keep it safe.",1
Violet Boomer,firework.boomer.violet,-280223496,A very large mortar type firework with a violet starburst,20
Violet Roman Candle,firework.romancandle.violet,-99886070,"A small repeating firework, shoots a series of Violet balls into the air",20
Violet Volcano Firework,firework.volcano.violet,-1538109120,Emits a beautiful shower of Violet sparks,20
Vodka Bottle,bottle.vodka,755224797,A bottle of Russian Vodka.,1
Wagon,wagon,996757362,A train car.,1
Watch Tower,watchtower.wood,-463122489,A high wooden watchtower with a ladder,5
Water,water,-1779180711,Water. Drinking it will alleviate your thirst.,2147483647
Water Barrel,water.barrel,-1863559151,A storage container for water. Can output 10ml of water a second via a hose.,1
Water Bucket,bucket.water,1424075905,A bucket for transporting water or other liquids.,1
Water Gun,gun.water,722955039,A large water gun with pumpable pressure. Hold reload to pump!,1
Water Jug,waterjug,-119235651,A large jerry can for water.,1
Water Pistol,pistol.water,-1815301988,"A small water gun that doesn't require pumping, but has a lower range and output.",1
Water Pump,waterpump,-1284169891,Can be placed in a water source to collect that water while powered. Can be connected to other Water entities.,1
Water Purifier,water.purifier,2114754781,"A Water Purifier. Place overtop of a campfire. Will provide clean, drinkable water from salty, or stagnant water.",1
Waterpipe Shotgun,shotgun.waterpipe,-1367281941,A Shotgun. Fires a single round before reloading.,1
Weapon flashlight,weapon.mod.flashlight,952603248,Attaches to a weapon. Provides user with a beam of light. Pressing F (default) to toggle light.,1
Weapon Lasersight,weapon.mod.lasersight,-132516482,Attaches to a weapon. Provides user with a guiding laser and reduces weapon sway.,1
Wetsuit,diving.wetsuit,-1101924344,A Wetsuit providing protection from frigid waters.,1
Wheelbarrow Piano,piano,1272430949,"The Piano is a repurposed wheelbarrow that weighs a ton, but makes up for it with a wide range of notes.",1
White Berry,white.berry,854447607,A white berry. Can be eaten or used in mixing table recipes to create teas.,20
White Berry Clone,clone.white.berry,1533551194,A clipping of a White Berry Plant.,50
White Berry Seed,seed.white.berry,-992286106,"These white berry seeds can be planted in the ground and grown to collect additional food. Planting these seeds in a planter, and then watering them with large quantities of water yields significantly more Corn and faster groth.",50
White ID Tag,whiteidtag,22947882,White ID Tag,5000
White Volcano Firework,firework.volcano,261913429,Emits a beautiful shower of white sparks,20
Wind Turbine,generator.wind.scrap,-1819763926,Converts kinetic energy harvested from the wind into electricity. Amount generated will vary depending on wind speed. Higher altitudes will yield stronger winds.,1
Wire Tool,wiretool,-144417939,A tool used to make connections between electrical objects. Aim at an object and click on an input/output handle. you can then click on another object's input/output handle to form a connection. holding right mouse will clear or cancel a connection.,1
Wolf Headdress,hat.wolf,-1478212975,A headdress made out of the scraped out head of a wolf.,1
Wolf Skull,skull.wolf,2048317869,A wolf skull.,1
Wood,wood,-151838493,Wood. Collected from trees and used in many crafting recipes. It's also needed to cook in camp-fires.,1000
Wood Armor Helmet,wood.armor.helmet,-2094954543,A shoddy helmet made from Wood and Cloth.,1
Wood Armor Pants,wood.armor.pants,832133926,A shoddy piece of leg armor made from Wood and rope.,1
Wood Chestplate,wood.armor.jacket,418081930,A shoddy piece of body armor made from Wood and rope.,1
Wood Double Door,door.double.hinged.wood,-1336109173,"A Cheap door to secure your base. Its vulnerability to fire and weak explosive resistance makes the door a temporary solution to securing your base. Due to its flaws you should look at upgrading to a higher tier door such as Sheet Metal.The Wooden Door can take two kinds of locks the basic Key Lock and the Code Lock. To pick up the door, remove any locks and open, hold down the E (USE) key and select 'Pickup'.",1
Wood Shutters,shutter.wood.a,-1023374709,Wood shutters that you can open and close.,20
Wood Storage Box,box.wooden,-180129657,Keep your things in this wooden storage box. Stores up to 18 items.,1
Wooden Arrow,arrow.wooden,-1234735557,An arrow for a Hunting Bow and Crossbow.,64
Wooden Barricade,barricade.wood,866889860,A wooden barricade. Will hurt players and animals that run into it.,10
Wooden Barricade Cover,barricade.wood.cover,1373240771,Perfect for cover when engaging in gun fights. Decays rapidly when placed outside of building privilege.,10
Wooden Cross,woodcross,699075597,A wooden cross marking the remains of an unknown soul,1
Wooden Door,door.hinged.wood,1729120840,"A Cheap door to secure your base. Its vulnerability to fire and weak explosive resistance makes the door a temporary solution to securing your base. Due to its flaws you should look at upgrading to a higher tier door such as Sheet Metal.The Wooden Door can take two kinds of locks the basic Key Lock and the Code Lock. To pick up the door, remove any locks and open, hold down the E (USE) key and select 'Pickup'.",1
Wooden Floor Spikes,spikes.floor,-92759291,A set of spikes that will slow down and hurt anyone that walks over them.,10
Wooden Horse Armor,horse.armor.wood,1659447559,A set of wooden horse armor,1
Wooden Ladder,ladder.wooden.wall,-316250604,A ladder will help you climb walls in any base.,5
Wooden Spear,spear.wooden,1540934679,"Primitive weapon, perfect for hunting your foes. Can be upgraded to Stone Spear.",1
Wooden Window Bars,wall.window.bars.wood,-1183726687,"Window bars made out of wood. They'll stop people climbing through your window, but probably not for very long.",10
Work Cart,workcart,-810326667,A service train designed to run on an underground rail system.,1
Workbench Level 1,workbench1,1524187186,This allows you to craft and unlock items requiring workbench level 1,1
Workbench Level 2,workbench2,-41896755,This allows you to craft and unlock items requiring workbench level 2,1
Workbench Level 3,workbench3,-1607980696,This allows you to craft and unlock items requiring workbench level 3,1
Worm,worm,1770475779,"A small, writhing worm that can be used for bait. Could also be eaten in desperate situations.",20
Wrapped Gift,wrappedgift,204970153,A lazily wrapped gift.,1
Wrapping Paper,wrappingpaper,1094293920,Use this to conceal any item in a lazily wrapped gift,1
XL Picture Frame,sign.pictureframe.xl,-996185386,An extra large canvas for artists paintings.,5
XOR Switch,electric.xorswitch,1293102274,"An exclusive-or logic gate that allows electrical passthrough if ONLY ONE input receives power, passthrough amount is whichever single input is active. if BOTH inputs recieve power, passthrough will be zero.",5
XXL Picture Frame,sign.pictureframe.xxl,98508942,A double extra large canvas for artists paintings.,5
Xylobone,xylophone,-211235948,A selection of bones that were “acquired” for their acoustic attributes. Play a lullaby for your camp with these soothing tones.,1
Yellow Berry,yellow.berry,1660145984,A yellow berry. Can be eaten or used in mixing table recipes to create teas.,20
Yellow Berry Clone,clone.yellow.berry,390728933,A clipping of a Yellow Berry Plant.,50
Yellow Berry Seed,seed.yellow.berry,-520133715,"These yellow berry seeds can be planted in the ground and grown to collect additional food. Planting these seeds in a planter, and then watering them with large quantities of water yields significantly more Corn and faster groth.",50
Yellow ID Tag,yellowidtag,81423963,Yellow ID Tag,5000
Yellow Perch,fish.yellowperch,680234026,"A Yellow Perch, commonly found in freshwater rivers.",10
